@relation segment

@attribute LOG1_2 numeric
@attribute LOG1_4 numeric
@attribute LOG1_6 numeric
@attribute LOG1_8 numeric
@attribute LOG_2 numeric
@attribute LOG_4 numeric
@attribute LOG_8 numeric
@attribute class {class1,class2}

@data
-7367.616211,-1337.883423,-219.04834,-164.311874,-7367.616211,-1337.883423,-164.311874,class1
-7887.167969,-3130.324707,-1326.78125,-724.082153,-7887.167969,-3130.324707,-724.082153,class1
-5225.861816,-3373.021729,-1966.639893,-1191.890015,-5225.861816,-3373.021729,-1191.890015,class1
-4210.716797,-3031.038086,-2186.522705,-1523.208862,-4210.716797,-3031.038086,-1523.208862,class1
-4057.51709,-2919.393555,-2266.80957,-1755.040405,-4057.51709,-2919.393555,-1755.040405,class1
-4459.847656,-3201.476074,-2447.349609,-1931.030762,-4459.847656,-3201.476074,-1931.030762,class1
-5663.669922,-3598.467041,-2722.763184,-2072.626709,-5663.669922,-3598.467041,-2072.626709,class1
-6427.891602,-4100.029297,-3041.729492,-2185.744629,-6427.891602,-4100.029297,-2185.744629,class1
-6775.364746,-4664.625977,-3273.27124,-2217.794189,-6775.364746,-4664.625977,-2217.794189,class1
-4385.457031,-837.491699,85.641327,301.603485,-4385.457031,-837.491699,301.603485,class1
-7301.87207,-1069.894897,-23.260223,110.863922,-7301.87207,-1069.894897,110.863922,class1
-1327.831909,-55.375549,50.923706,-39.663483,-1327.831909,-55.375549,-39.663483,class1
1782.0354,922.532043,17.441345,-205.099716,1782.0354,922.532043,-205.099716,class1
1102.867432,24.169769,-411.795654,-396.346191,1102.867432,24.169769,-396.346191,class1
-4247.866699,-2181.392578,-990.288879,-546.985168,-4247.866699,-2181.392578,-546.985168,class1
-9136.946289,-3374.423828,-1209.283081,-560.285278,-9136.946289,-3374.423828,-560.285278,class1
-5523.061523,-2258.460938,-816.172974,-402.612762,-5523.061523,-2258.460938,-402.612762,class1
-4360.277832,-443.189453,-154.320358,-186.425339,-4360.277832,-443.189453,-186.425339,class1
-4512.269531,353.76062,265.298798,-56.317215,-4512.269531,353.76062,-56.317215,class1
-1768.805176,49.148926,133.15799,-138.918442,-1768.805176,49.148926,-138.918442,class1
-1059.049927,-1101.326172,-474.346802,-422.859741,-1059.049927,-1101.326172,-422.859741,class1
-4907.321289,-2566.630859,-1251.296143,-811.039673,-4907.321289,-2566.630859,-811.039673,class1
-6446.308594,-3360.820801,-1863.741211,-1179.8302,-6446.308594,-3360.820801,-1179.8302,class1
-6133.520508,-3479.915039,-2202.680176,-1452.682129,-6133.520508,-3479.915039,-1452.682129,class1
-6428.618652,-3646.623047,-2391.650391,-1626.428101,-6428.618652,-3646.623047,-1626.428101,class1
-8310.861328,-4047.484863,-2518.466553,-1699.354126,-8310.861328,-4047.484863,-1699.354126,class1
-7793.384766,-4246.37793,-2537.935547,-1706.084106,-7793.384766,-4246.37793,-1706.084106,class1
-7365.335449,-3918.431885,-2424.12915,-1693.226807,-7365.335449,-3918.431885,-1693.226807,class1
-5253.027344,-3163.722168,-2322.453613,-1697.213135,-5253.027344,-3163.722168,-1697.213135,class1
4050.096436,107.095032,569.490601,584.536865,4050.096436,107.095032,584.536865,class1
-4302.947754,-144.355347,447.48761,370.955566,-4302.947754,-144.355347,370.955566,class1
-903.229736,360.412048,458.036804,186.47821,-903.229736,360.412048,186.47821,class1
6521.793457,1332.749756,410.490601,-17.055817,6521.793457,1332.749756,-17.055817,class1
3682.564941,1050.12085,41.399933,-248.997406,3682.564941,1050.12085,-248.997406,class1
-4227.492188,-947.822754,-624.67041,-503.854279,-4227.492188,-947.822754,-503.854279,class1
-10410.568359,-3161.991455,-1295.127197,-721.05127,-10410.568359,-3161.991455,-721.05127,class1
-7568.805176,-3771.122559,-1596.227051,-819.387939,-7568.805176,-3771.122559,-819.387939,class1
-3369.844727,-3143.069824,-1464.243164,-807.540405,-3369.844727,-3143.069824,-807.540405,class1
-7866.696289,-2213.663818,-1087.942383,-720.588501,-7866.696289,-2213.663818,-720.588501,class1
-1132.44165,-1177.312256,-797.205811,-676.362366,-1132.44165,-1177.312256,-676.362366,class1
2861.386963,-981.637695,-817.082886,-743.325439,2861.386963,-981.637695,-743.325439,class1
-7397.056641,-1921.363159,-1168.44165,-916.776062,-7397.056641,-1921.363159,-916.776062,class1
-6369.081055,-2753.757324,-1623.341553,-1122.477051,-6369.081055,-2753.757324,-1122.477051,class1
-6122.754883,-3058.340332,-1947.095703,-1264.707153,-6122.754883,-3058.340332,-1264.707153,class1
-6796.399902,-3266.160889,-2096.317383,-1307.014038,-6796.399902,-3266.160889,-1307.014038,class1
-7721.586426,-3612.136963,-2042.464355,-1214.248047,-7721.586426,-3612.136963,-1214.248047,class1
-6223.466797,-3676.325439,-1753.006958,-1042.388428,-6223.466797,-3676.325439,-1042.388428,class1
-5746.053711,-2647.324707,-1255.581665,-878.903687,-5746.053711,-2647.324707,-878.903687,class1
-4908.676758,-1042.904785,-926.161377,-836.106201,-4908.676758,-1042.904785,-836.106201,class1
45.429016,1293.876221,878.792725,653.963135,45.429016,1293.876221,653.963135,class1
2602.963867,1176.174805,653.632202,411.531799,2602.963867,1176.174805,411.531799,class1
-5900.686523,-13.367432,376.580322,160.928467,-5900.686523,-13.367432,160.928467,class1
-8449.03125,-262.555969,151.029633,-91.872803,-8449.03125,-262.555969,-91.872803,class1
2223.609375,628.589417,-57.156769,-317.698914,2223.609375,628.589417,-317.698914,class1
5765.640137,298.826813,-478.438843,-570.755371,5765.640137,298.826813,-570.755371,class1
-6696.922852,-2009.850098,-1222.771484,-856.444336,-6696.922852,-2009.850098,-856.444336,class1
-8458.120117,-3918.257324,-1935.001099,-1097.138184,-8458.120117,-3918.257324,-1097.138184,class1
-2973.816162,-4097.980469,-2218.656494,-1238.305176,-2973.816162,-4097.980469,-1238.305176,class1
-7419.365234,-3192.295898,-1985.955688,-1215.167603,-7419.365234,-3192.295898,-1215.167603,class1
-5065.821289,-1940.129883,-1526.273682,-1110.299927,-5065.821289,-1940.129883,-1110.299927,class1
-2397.655518,-1229.216919,-1177.728149,-1025.846191,-2397.655518,-1229.216919,-1025.846191,class1
-6169.110352,-1410.229004,-1170.874268,-1010.161438,-6169.110352,-1410.229004,-1010.161438,class1
-1046.688354,-1869.510864,-1395.903076,-1028.519287,-1046.688354,-1869.510864,-1028.519287,class1
-3717.225098,-2202.123291,-1551.114746,-990.053467,-3717.225098,-2202.123291,-990.053467,class1
